Onglet;Domaine;Sous Domaine;Indicateur;Champs;Formule
Effectifs;Effectif;Effectif au 31/12;Effectif total au 31/12;Cadre;Nombre matricule par structure dont le CSP est cadre
Effectifs;Effectif;Effectif au 31/12;Effectif total au 31/12;Agent de Maitrise ;Nombre matricule par structure dont le CSP est Agent de maitrise
Effectifs;Effectif;Effectif au 31/12;Effectif total au 31/12;Employé;Nombre matricule par structure dont le CSP est employé
Effectifs;Effectif;Effectif au 31/12;Effectif total au 31/12;Ouvrier;Nombre matricule par structure dont le CSP est ouvrier
Effectifs;Effectif;Effectif au 31/12;Effectif total au 31/12;Technicien;Nombre matricule par structure dont le CSP est technicien
Effectifs;Effectif;Effectif au 31/12;Effectif permanent;Cadre;Nombre matricule par structure dont le type de contrat est CDI et le Durée du temps de travail est 35h ou plus et la CSP est Cadre
Effectifs;Effectif;Effectif au 31/12;Effectif permanent;Agent de Maitrise ;Nombre matricule par structure dont le type de contrat est CDI et le Durée du temps de travail est 35h ou plus et la CSP est Agent de maitrise
Effectifs;Effectif;Effectif au 31/12;Effectif permanent;Employé;Nombre matricule par structure dont le type de contrat est CDI et le Durée du temps de travail est 35h ou plus et la CSP est Employé
Effectifs;Effectif;Effectif au 31/12;Effectif permanent;Ouvrier;Nombre matricule par structure dont le type de contrat est CDI et le Durée du temps de travail est 35h ou plus et la CSP est Ouvrier
Effectifs;Effectif;Effectif au 31/12;Effectif permanent;Technicien;Nombre matricule par structure dont le type de contrat est CDI et le Durée du temps de travail est 35h ou plus et la CSP est Technicien
Effectifs;Effectif;Effectif au 31/12;Nombre de salariés titulaires d'un contrat de travail à durée déterminée au 31/12;Cadre;Nombre matricule par structure dont le type de contrat est CDD et la CSP est Cadre
Effectifs;Effectif;Effectif au 31/12;Nombre de salariés titulaires d'un contrat de travail à durée déterminée au 31/12;Agent de Maitrise ;Nombre matricule par structure dont le type de contrat est CDD et la CSP est Agent de maitrise
Effectifs;Effectif;Effectif au 31/12;Nombre de salariés titulaires d'un contrat de travail à durée déterminée au 31/12;Employé;Nombre matricule par structure dont le type de contrat est CDD et la CSP est Employé
Effectifs;Effectif;Effectif au 31/12;Nombre de salariés titulaires d'un contrat de travail à durée déterminée au 31/12;Ouvrier;Nombre matricule par structure dont le type de contrat est CDD et la CSP est Ouvrier
Effectifs;Effectif;Effectif au 31/12;Nombre de salariés titulaires d'un contrat de travail à durée déterminée au 31/12;Technicien;Nombre matricule par structure dont le type de contrat est CDD et la CSP est Technicien 
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 pour les hommes;Cadre;Nombre matricule par structure dont le sexe est homme et dont la CSP est cadre
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 pour les hommes;Agent de Maitrise ;Nombre matricule par structure dont le sexe est homme et dont la CSP est Agent de maitrise
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 pour les hommes;Employé;Nombre matricule par structure dont le sexe est homme et dont la CSP est Employé
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 pour les hommes;Ouvrier;Nombre matricule par structure dont le sexe est homme et dont la CSP est Ouvrier
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 pour les hommes;Technicien;Nombre matricule par structure dont le sexe est homme et dont la CSP est Technicien
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 pour les femmes;Cadre;Nombre matricule par structure dont le sexe est femme et dont la CSP est cadre
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 pour les femmes;Agent de Maitrise ;Nombre matricule par structure dont le sexe est femme et dont la CSP est Agent de maitrise
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 pour les femmes;Employé;Nombre matricule par structure dont le sexe est femme et dont la CSP est Employé
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 pour les femmes;Ouvrier;Nombre matricule par structure dont le sexe est femme et dont la CSP est Ouvrier
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 pour les femmes;Technicien;Nombre matricule par structure dont le sexe est femme et dont la CSP est Technicien
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité française;Cadre;Nombre matricule par structure dont la nationalité est francaise (francais, France, FR) et dont la CSP est Cadre
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité française;Agent de Maitrise ;Nombre matricule par structure dont la nationalité est francaise (francais, France, FR) et dont la CSP est Agent de maitrise
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité française;Employé;Nombre matricule par structure dont la nationalité est francaise (francais, France, FR) et dont la CSP est Employé
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité française;Ouvrier;Nombre matricule par structure dont la nationalité est francaise (francais, France, FR) et dont la CSP est Ouvrier
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité française;Technicien;Nombre matricule par structure dont la nationalité est francaise (francais, France, FR) et dont la CSP est Technicien
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité étrangère;Cadre;Nombre matricule par structure dont la nationalité est différente de francaise (francais, France, FR) et dont la CSP est Cadre 
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité étrangère;Agent de Maitrise ;Nombre matricule par structure dont la nationalité est différente de francaise (francais, France, FR) et dont la CSP est Agent de maitrise
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité étrangère;Employé;Nombre matricule par structure dont la nationalité est différente de francaise (francais, France, FR) et dont la CSP est Employé
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité étrangère;Ouvrier;Nombre matricule par structure dont la nationalité est différente de francaise (francais, France, FR) et dont la CSP est Ouvrier
Effectifs;Effectif;Répartition de l'effectif;Répartition de l'effectif total au 31/12 de nationalité étrangère;Technicien;Nombre matricule par structure dont la nationalité est différente de francaise (francais, France, FR) et dont la CSP est Technicien
Effectifs;Informations sur les emplois;Emploi;Nombre de stagiaires;Nombre de stagiaires;Nombre matricule par structure dont le type de contrat est stage (stagiaire)
Effectifs;Emploi;Embauches;Nombre d'embauches par contrats de travail à durée indéterminée;Nombre d’embauches par contrats de travail à durée indéterminée;Nombre matricule par structure dont le type de contrat est CDI (DI) dont la date d'entrée est la date de référence
Effectifs;Emploi;Embauches;Nombre d'embauches par contrats de travail à durée déterminée (dont travailleurs saisonniers);Cadre;Nombre matricule par structure dont le type de contrat est CDD dont la date d'entrée est la date de référence et dont la CSP est Cadre
Effectifs;Emploi;Embauches;Nombre d'embauches par contrats de travail à durée déterminée (dont travailleurs saisonniers);Agent de Maitrise ;Nombre matricule par structure dont le type de contrat est CDD dont la date d'entrée est la date de référence et dont la CSP est Agent de maitrise
Effectifs;Emploi;Embauches;Nombre d'embauches par contrats de travail à durée déterminée (dont travailleurs saisonniers);Employé;Nombre matricule par structure dont le type de contrat est CDD dont la date d'entrée est la date de référence et dont la CSP est Employé 
Effectifs;Emploi;Embauches;Nombre d'embauches par contrats de travail à durée déterminée (dont travailleurs saisonniers);Ouvrier;Nombre matricule par structure dont le type de contratest CDD dont la date d'entrée est la date de référence et dont la CSP est Ouvrier 
Effectifs;Emploi;Embauches;Nombre d'embauches par contrats de travail à durée déterminée (dont travailleurs saisonniers);Technicien;Nombre matricule par structure dont le type de contrat est CDD dont la date d'entrée est la date de référence et dont la CSP est technicien
Effectifs;Emploi;Embauches;Nombre d'embauches de salariés de moins de vingt-cinq ans;Nombre d'embauches de salariés de moins de vingt-cinq ans;Nombre matricule par structure dont la date de naissance (age) est < 26 ans et dont la date d'entrée (année) = année de référence
Effectifs;Emploi;Départs;Total des départs;Cadre;Nombre matricule par structure dont la date de sortie est l'année de référence et dont la CSP est cadre
Effectifs;Emploi;Départs;Total des départs;Agent de Maitrise ;Nombre matricule par structure dont la date de sortie est l'année de référence et dont la CSP est Agent de maitrise
Effectifs;Emploi;Départs;Total des départs;Employé;Nombre matricule par structure dont la date de sortie est l'année de référence et dont la CSP est Employé
Effectifs;Emploi;Départs;Total des départs;Ouvrier;Nombre matricule par structure dont la date de sortie est l'année de référence et dont la CSP est Ouvrier
Effectifs;Emploi;Départs;Total des départs;Technicien;Nombre matricule par structure dont la date de sortie est l'année de référence et dont la CSP est Technicien
Effectifs;Emploi;Départs;Nombre de démissions;Cadre;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est démission et dont la CSP est cadre
Effectifs;Emploi;Départs;Nombre de démissions;Agent de Maitrise ;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est démission et dont la CSP est Agent de maitrise
Effectifs;Emploi;Départs;Nombre de démissions;Employé;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est démission et dont la CSP est Employé
Effectifs;Emploi;Départs;Nombre de démissions;Ouvrier;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est démission et dont la CSP est Ouvrier
Effectifs;Emploi;Départs;Nombre de démissions;Technicien;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est démission et dont la CSP est Technicien
Effectifs;Emploi;Départs;Nombre de licenciements pour motif économique, dont départs en retraite et préretraite;Cadre;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est licenciement économique (éco, retraite, préretraite) et dont la CSP est cadre
Effectifs;Emploi;Départs;Nombre de licenciements pour motif économique, dont départs en retraite et préretraite;Agent de Maitrise ;Nombre matricule par structure dont la date de sortie est l'année de référence et la nature de la fin de contrat est licenciement économique (éco, retraite, préretraite) et dont la CSP est Agent de maitrise
